furniture,type,rate,delivery,sale,price
0,165,3.3,172.14,0.72,2500.0
0,264,0.0,172.14,0.54,1200.0
1,264,0.0,172.14,0.18,1099.0
2,264,0.0,172.14,0.58,1200.0
3,264,5.0,52.44,0.54,1400.0
4,278,4.3,172.14,0.58,2000.0
5,264,4.1,52.44,0.53,2000.0
6,264,4.0,172.14,0.68,2000.0
7,264,0.0,172.14,0.0,900.0
1,264,0.0,172.14,0.18,1099.0
8,264,0.0,172.14,0.41,1600.0
9,277,4.6,172.14,0.28,900.0
10,264,4.3,172.14,0.28,900.0
11,264,0.0,172.14,0.68,3000.0
1,264,0.0,172.14,0.18,1099.0
12,264,4.3,172.14,0.53,2000.0
13,449,3.9,52.44,0.16,1600.0
14,437,4.8,52.44,0.43,350.0
1,264,0.0,172.14,0.18,1099.0
15,264,4.1,52.44,0.25,1000.0
16,265,4.3,52.44,0.15,2000.0
17,264,3.8,172.14,0.56,1800.0
0,137,0.0,172.14,0.0,1000.0
18,264,0.0,172.14,0.17,3948.0
19,446,0.0,172.14,0.2,2500.0
20,576,0.0,327.91,0.29,589.0
6,134,0.0,172.14,0.5,1300.0
10,264,4.3,172.14,0.5,1400.0
21,264,0.0,172.14,0.0,5000.0
11,264,0.0,172.14,0.58,3000.0
21,264,0.0,172.14,0.0,5000.0
11,264,0.0,172.14,0.7,3000.0
20,576,0.0,333.09,0.29,609.0
20,576,0.0,430.03,0.17,836.0
20,576,0.0,415.97,0.23,857.0
11,264,0.0,172.14,0.68,3000.0
11,264,0.0,172.14,0.68,3000.0
22,264,0.0,172.14,0.13,4500.0
23,264,0.0,172.14,0.33,1199.0
12,137,0.0,172.14,0.29,1200.0
0,165,3.3,172.14,0.72,2500.0
0,264,0.0,172.14,0.54,1200.0
1,264,0.0,172.14,0.18,1099.0
2,264,0.0,172.14,0.58,1200.0
3,264,5.0,52.44,0.54,1400.0
4,278,4.3,172.14,0.58,2000.0
5,264,4.1,52.44,0.53,2000.0
6,264,4.0,172.14,0.68,2000.0
7,264,0.0,172.14,0.0,900.0
1,264,0.0,172.14,0.18,1099.0
8,264,0.0,172.14,0.41,1600.0
9,277,4.6,172.14,0.28,900.0
10,264,4.3,172.14,0.28,900.0
11,264,0.0,172.14,0.68,3000.0
1,264,0.0,172.14,0.18,1099.0
12,264,4.3,172.14,0.53,2000.0
13,449,3.9,52.44,0.16,1600.0
14,437,4.8,52.44,0.43,350.0
1,264,0.0,172.14,0.18,1099.0
15,264,4.1,52.44,0.25,1000.0
16,265,4.3,52.44,0.15,2000.0
17,264,3.8,172.14,0.56,1800.0
0,137,0.0,172.14,0.0,1000.0
18,264,0.0,172.14,0.17,3948.0
19,446,0.0,172.14,0.2,2500.0
20,576,0.0,327.91,0.29,589.0
6,134,0.0,172.14,0.5,1300.0
10,264,4.3,172.14,0.5,1400.0
21,264,0.0,172.14,0.0,5000.0
11,264,0.0,172.14,0.58,3000.0
21,264,0.0,172.14,0.0,5000.0
11,264,0.0,172.14,0.7,3000.0
20,576,0.0,333.09,0.29,609.0
20,576,0.0,430.03,0.17,836.0
20,576,0.0,415.97,0.23,857.0
11,264,0.0,172.14,0.68,3000.0
11,264,0.0,172.14,0.68,3000.0
22,264,0.0,172.14,0.13,4500.0
23,264,0.0,172.14,0.33,1199.0
12,137,0.0,172.14,0.29,1200.0
24,272,4.2,172.14,0.69,2200.0
11,264,0.0,172.14,0.68,3000.0
25,178,0.0,52.44,0.32,1200.0
11,264,0.0,172.14,0.72,3000.0
5,264,4.2,52.44,0.15,1650.0
11,264,0.0,52.44,0.68,3000.0
26,258,4.0,52.44,0.31,1290.0
17,264,4.3,172.14,0.56,1800.0
27,264,0.0,52.44,0.54,1400.0
5,137,5.0,52.44,0.6,2200.0
28,264,5.0,52.44,0.54,1400.0
29,264,4.3,172.14,0.16,4800.0
30,270,4.0,172.14,0.4,500.0
31,264,5.0,52.44,0.18,2200.0
32,260,0.0,52.44,0.3,1420.0
33,264,4.2,52.44,0.29,450.0
34,158,0.0,172.14,0.54,2050.0
5,264,4.1,52.44,0.46,3500.0
35,258,0.0,52.44,0.11,2200.0
36,241,3.9,52.44,0.29,450.0
37,268,4.2,172.14,0.6,1100.0
38,264,4.0,172.14,0.17,3500.0
39,290,4.2,172.14,0.56,2000.0
40,264,4.2,52.44,0.12,2049.0
41,264,2.0,172.14,0.3,4000.0
2,264,4.4,172.14,0.56,1100.0
18,264,0.0,172.14,0.17,5004.0
42,264,0.0,172.14,0.0,450.0
43,279,0.0,52.44,0.52,1950.0
44,264,0.0,52.44,0.0,1299.0
45,264,4.4,52.44,0.2,100.0
46,12,0.0,172.14,0.3,3999.0
1,264,0.0,172.14,0.18,1099.0
1,264,0.0,172.14,0.18,1099.0
47,276,4.4,52.44,0.14,1450.0
1,264,0.0,172.14,0.18,1099.0
48,264,4.4,52.44,0.06,400.0
49,269,4.2,52.44,0.28,400.0
2,264,4.3,172.14,0.56,1100.0
11,264,0.0,172.14,0.73,3000.0
50,264,0.0,172.14,0.63,1850.0
51,137,0.0,172.14,0.35,2000.0
52,160,0.0,172.14,0.52,1950.0
53,264,0.0,52.44,0.15,350.0
54,264,0.0,10.83,0.33,888.0
55,264,5.0,172.14,0.17,4700.0
56,264,3.7,52.44,0.04,500.0
57,134,5.0,52.44,0.68,1400.0
58,137,0.0,52.44,0.33,2000.0
38,264,4.7,172.14,0.17,3500.0
59,264,2.0,172.14,0.21,3500.0
60,264,5.0,172.14,0.17,3500.0
61,264,5.0,52.44,0.18,2199.0
62,264,0.0,172.14,0.1,5900.0
63,264,5.0,172.14,0.25,4800.0
64,118,5.0,52.44,0.11,670.0
15,138,0.0,52.44,0.43,2000.0
11,264,0.0,52.44,0.62,3000.0
65,264,0.0,52.44,0.0,860.0
57,134,0.0,52.44,0.68,1400.0
61,264,0.0,52.44,0.54,2000.0
63,264,5.0,172.14,0.2,4999.0
66,227,4.2,52.44,0.45,390.0
67,264,0.0,172.14,0.32,2500.0
68,450,4.6,52.44,0.11,1350.0
0,165,3.3,172.14,0.72,2500.0
69,178,0.0,52.44,0.36,950.0
70,256,4.2,52.44,0.21,490.0
71,194,0.0,52.44,0.4,850.0
72,264,0.0,172.14,0.12,3300.0
66,264,5.0,52.44,0.32,550.0
30,270,4.2,172.14,0.2,500.0
51,264,4.4,172.14,0.62,1999.0
11,264,0.0,52.44,0.68,3000.0
63,264,0.0,172.14,0.0,3500.0
56,264,3.5,52.44,0.38,888.0
73,264,0.0,172.14,0.48,4200.0
3,134,0.0,52.44,0.68,1400.0
74,25,4.5,172.14,0.16,8000.0
75,409,4.3,172.14,0.1,3000.0
76,261,0.0,52.44,0.22,890.0
77,264,5.0,172.14,0.0,3500.0
78,468,0.0,52.44,0.0,1150.0
79,283,3.0,52.44,0.53,1999.0
80,466,4.0,52.44,0.0,1100.0
81,264,0.0,52.44,0.43,350.0
82,451,4.9,52.44,0.11,1350.0
38,264,3.5,172.14,0.17,3500.0
83,264,0.0,52.44,0.1,990.0
84,264,0.0,52.44,0.33,888.0
64,118,3.5,52.44,0.0,670.0
85,245,5.0,52.44,0.6,3800.0
86,446,4.5,52.44,0.0,1850.0
76,567,0.0,52.44,0.09,1420.0
87,13,0.0,172.14,0.33,2999.0
0,264,0.0,172.14,0.66,2500.0
88,159,0.0,172.14,0.52,1950.0
89,151,0.0,172.14,0.0,6522.0
41,264,5.0,172.14,0.3,4000.0
72,264,0.0,172.14,0.36,3899.0
9,277,4.6,172.14,0.28,900.0
90,264,3.0,52.44,0.52,2000.0
11,264,0.0,52.44,0.6,3000.0
72,264,0.0,172.14,0.19,2700.0
91,394,0.0,52.44,0.12,740.0
92,203,4.1,52.44,0.2,399.0
93,274,3.2,52.44,0.21,1450.0
94,264,3.0,172.14,0.18,5500.0
95,264,0.0,52.44,0.47,450.0
96,264,5.0,172.14,0.1,5900.0
97,409,3.0,172.14,0.13,4000.0
